,cv-folds,dataset,estimator,omics,train_accuracy,test_accuracy,fss_nogueira,avg_features,all_features,runs
53,5,BRCA,SVM_f100,mirna,0.8876417233560091,0.8281179138321996,0.4898710738028005,103.53333333333333,835,15
54,5,BRCA,LR_f10,rna,0.8182539682539682,0.8140589569160998,0.8097887234146782,9.266666666666667,22694,15
55,5,BRCA,LR_f25,rna,0.86859410430839,0.8580498866213152,0.6047908497513275,24.8,22694,15
56,5,BRCA,LR_f100,rna,0.917687074829932,0.8820861678004535,0.4828836919501851,95.26666666666667,22694,15
57,5,BRCA,SVM_f10,rna,0.8388888888888889,0.8321995464852607,0.7851690237305017,10.733333333333333,22694,15
58,5,BRCA,SVM_f25,rna,0.873015873015873,0.8589569160997732,0.6105428187482184,26.0,22694,15
59,5,BRCA,SVM_f100,rna,0.9328798185941043,0.8816326530612245,0.4303264187934023,113.66666666666667,22694,15
60,5,COAD,LR_f10,__ALL__,0.8198085081986011,0.7801169590643275,0.4218904349624035,10.066666666666666,99520,15
61,5,COAD,LR_f25,__ALL__,0.8682289875014333,0.7923526765632029,0.45308262622685935,26.266666666666666,99520,15
62,5,COAD,LR_f100,__ALL__,1.0,0.7713450292397661,0.36412130433327583,106.33333333333333,99520,15
63,5,COAD,SVM_f10,__ALL__,0.8185041852998509,0.7818713450292398,0.4132743777844773,10.0,99520,15
64,5,COAD,SVM_f25,__ALL__,0.8664832014677216,0.7923976608187134,0.473901631350062,26.6,99520,15
65,5,COAD,SVM_f100,__ALL__,1.0,0.7538911381016644,0.34713318867420884,91.06666666666666,99520,15
66,5,COAD,LR_f10,mutation,0.6575020066506134,0.5461988304093567,0.3247085649522369,8.0,18537,15
67,5,COAD,LR_f25,mutation,0.8019005847953217,0.5583445793972109,0.332557810017871,27.866666666666667,18537,15
68,5,COAD,LR_f100,mutation,0.9995642701525055,0.530544309491678,0.3508696035100082,89.66666666666667,18537,15
69,5,COAD,SVM_f10,mutation,0.657937736498108,0.547953216374269,0.32523086895295805,8.133333333333333,18537,15
70,5,COAD,SVM_f25,mutation,0.7888143561518174,0.5617183985605039,0.322790108504876,27.266666666666666,18537,15
71,5,COAD,SVM_f100,mutation,0.9982542139662883,0.5322537112010797,0.33939441393644465,94.33333333333333,18537,15
72,5,COAD,LR_f10,cnv,0.662713564958147,0.6437696806117859,0.5099768247486303,9.0,57964,15
73,5,COAD,LR_f25,cnv,0.8381550280931086,0.7258659469185785,0.42124288215232986,29.8,57964,15
74,5,COAD,LR_f100,cnv,0.9899610136452242,0.7049032838506523,0.378035302323086,109.0,57964,15
75,5,COAD,SVM_f10,cnv,0.6784342391927531,0.635042735042735,0.47914552309437775,9.4,57964,15
76,5,COAD,SVM_f25,cnv,0.8508055268891183,0.7433648223121907,0.4259030822892613,27.866666666666667,57964,15
77,5,COAD,SVM_f100,cnv,0.9934439857814471,0.7137651821862349,0.3892064307819816,106.33333333333333,57964,15
78,5,COAD,LR_f10,mirna,0.7360394450177732,0.6686909581646424,0.5964042958043365,10.133333333333333,802,15
79,5,COAD,LR_f25,mirna,0.8150212131636281,0.6668915879442195,0.536856127031548,23.733333333333334,802,15
80,5,COAD,LR_f100,mirna,1.0,0.6579397210976159,0.3938081513419335,99.86666666666666,802,15
81,5,COAD,SVM_f10,mirna,0.7360451783052402,0.6704003598740441,0.603837084256488,10.4,802,15
82,5,COAD,SVM_f25,mirna,0.8124011007911937,0.6686009896536212,0.5477835829143913,25.133333333333333,802,15
83,5,COAD,SVM_f100,mirna,1.0,0.6631578947368421,0.3759151560008044,92.53333333333333,802,15
84,5,COAD,LR_f10,rna,0.8176241256736613,0.783625730994152,0.4445470823050037,9.4,22210,15
85,5,COAD,LR_f25,rna,0.8669217979589496,0.7749437696806118,0.42524147303139737,24.8,22210,15
86,5,COAD,LR_f100,rna,1.0,0.783625730994152,0.3533354291248433,108.06666666666666,22210,15
87,5,COAD,SVM_f10,rna,0.814571150097466,0.7853801169590643,0.42833977877444385,9.0,22210,15
88,5,COAD,SVM_f25,rna,0.8686704506363949,0.7785874943769681,0.429262763677534,27.333333333333332,22210,15
89,5,COAD,SVM_f100,rna,1.0,0.7433198380566801,0.3149521772544872,97.2,22210,15
