cv-folds,dataset,estimator,estimator_details,omics,train_accuracy,test_accuracy,fss_nogueira,avg_features,all_features,runs
5,BRCA,SVM_f100,"LinearSVC(C=0.037080860710144034, dual=False, max_iter=100000, penalty='l1')",cnv,0.8919501133786848,0.8321995464852607,0.34579286671352105,87.8,57964,15
5,BRCA,LR_f10,"LogisticRegression(C=0.01181640625, max_iter=100000, penalty='l1', solver='liblinear')",mirna,0.8107709750566894,0.8068027210884354,0.8406663536556995,10.533333333333333,835,15
5,BRCA,LR_f25,"LogisticRegression(C=0.03915468749999999, max_iter=100000, penalty='l1', solver='liblinear')",mirna,0.8413832199546486,0.8285714285714286,0.7045477712100372,28.466666666666665,835,15
5,BRCA,LR_f100,"LogisticRegression(C=0.12556318359375, max_iter=100000, penalty='l1', solver='liblinear')",mirna,0.8928571428571429,0.8258503401360544,0.4865840693597213,98.26666666666667,835,15
5,BRCA,SVM_f10,"LinearSVC(C=0.0031511474609375, dual=False, max_iter=100000, penalty='l1')",mirna,0.8134920634920635,0.8104308390022675,0.8491434120176635,11.133333333333333,835,15
5,BRCA,SVM_f25,"LinearSVC(C=0.009863671875, dual=False, max_iter=100000, penalty='l1')",mirna,0.8420634920634921,0.8299319727891157,0.7024940776735957,29.466666666666665,835,15
5,BRCA,SVM_f100,"LinearSVC(C=0.030855566406249996, dual=False, max_iter=100000, penalty='l1')",mirna,0.886734693877551,0.8281179138321996,0.49171219030350455,102.8,835,15
5,BRCA,LR_f10,"LogisticRegression(C=0.0037613769531249994, max_iter=100000, penalty='l1', solver='liblinear')",rna,0.8129251700680272,0.8068027210884354,0.7711287491745733,9.2,22694,15
5,BRCA,LR_f25,"LogisticRegression(C=0.00931446533203125, max_iter=100000, penalty='l1', solver='liblinear')",rna,0.8663265306122448,0.8580498866213152,0.6362935116633075,25.533333333333335,22694,15
5,BRCA,LR_f100,"LogisticRegression(C=0.03915468749999999, max_iter=100000, penalty='l1', solver='liblinear')",rna,0.9295918367346939,0.8793650793650793,0.4465707233443973,117.73333333333333,22694,15
5,BRCA,SVM_f10,"LinearSVC(C=0.0015645507812499999, dual=False, max_iter=100000, penalty='l1')",rna,0.8388888888888889,0.8321995464852607,0.7851690237305017,10.733333333333333,22694,15
5,BRCA,SVM_f25,"LinearSVC(C=0.0031511474609375, dual=False, max_iter=100000, penalty='l1')",rna,0.873015873015873,0.8589569160997732,0.6105428187482184,26.0,22694,15
5,BRCA,SVM_f100,"LinearSVC(C=0.010107763671875, dual=False, max_iter=100000, penalty='l1')",rna,0.9331065759637188,0.8816326530612245,0.43048585001504247,113.8,22694,15
5,COAD,LR_f10,"LogisticRegression(C=0.02499736328125, max_iter=100000, penalty='l1', solver='liblinear')",__ALL__,0.8167583992661392,0.7801169590643275,0.43036795184878907,10.266666666666667,99520,15
5,COAD,LR_f25,"LogisticRegression(C=0.041107421874999994, max_iter=100000, penalty='l1', solver='liblinear')",__ALL__,0.8695390436876504,0.7888439046333783,0.46041774403506364,26.2,99520,15
5,COAD,LR_f100,"LogisticRegression(C=0.19732617187499996, max_iter=100000, penalty='l1', solver='liblinear')",__ALL__,1.0,0.7730994152046784,0.3677058823372483,93.06666666666666,99520,15
5,COAD,SVM_f10,"LinearSVC(C=0.006248062133789061, dual=False, max_iter=100000, penalty='l1')",__ALL__,0.8185041852998509,0.7818713450292398,0.4132743777844773,10.0,99520,15
5,COAD,SVM_f25,"LinearSVC(C=0.010107763671875, dual=False, max_iter=100000, penalty='l1')",__ALL__,0.8664832014677216,0.7923976608187134,0.473901631350062,26.6,99520,15
5,COAD,SVM_f100,"LinearSVC(C=0.052579736328125, dual=False, max_iter=100000, penalty='l1')",__ALL__,1.0,0.7521367521367521,0.3468057612948844,90.93333333333334,99520,15
5,COAD,LR_f10,"LogisticRegression(C=0.20318437499999997, max_iter=100000, penalty='l1', solver='liblinear')",mutation,0.6575020066506134,0.5461988304093567,0.3247085649522369,8.0,18537,15
5,COAD,LR_f25,"LogisticRegression(C=0.32425390625000006, max_iter=100000, penalty='l1', solver='liblinear')",mutation,0.8019005847953217,0.5600989653621232,0.332557810017871,27.866666666666667,18537,15
5,COAD,LR_f100,"LogisticRegression(C=1.16796875, max_iter=100000, penalty='l1', solver='liblinear')",mutation,0.9995642701525055,0.5287899235267657,0.3497268355797274,88.0,18537,15
5,COAD,SVM_f10,"LinearSVC(C=0.05087109375, dual=False, max_iter=100000, penalty='l1')",mutation,0.657937736498108,0.547953216374269,0.32523086895295805,8.133333333333333,18537,15
5,COAD,SVM_f25,"LinearSVC(C=0.07918574218749999, dual=False, max_iter=100000, penalty='l1')",mutation,0.7888143561518174,0.5617183985605039,0.322790108504876,27.266666666666666,18537,15
5,COAD,SVM_f100,"LinearSVC(C=0.25005, dual=False, max_iter=100000, penalty='l1')",mutation,0.9982542139662883,0.5322537112010797,0.33943734888850674,94.26666666666667,18537,15
5,COAD,LR_f10,"LogisticRegression(C=0.10945312499999998, max_iter=100000, penalty='l1', solver='liblinear')",cnv,0.6679537897030158,0.6455240665766981,0.5025284960487577,9.133333333333333,57964,15
5,COAD,LR_f25,"LogisticRegression(C=0.21880624999999998, max_iter=100000, penalty='l1', solver='liblinear')",cnv,0.8359763788556358,0.715429599640126,0.4191463971143554,29.2,57964,15
5,COAD,LR_f100,"LogisticRegression(C=0.7452497482299805, max_iter=100000, penalty='l1', solver='liblinear')",cnv,0.9890866873065016,0.7137201979307243,0.39116320595943055,109.53333333333333,57964,15
5,COAD,SVM_f10,"LinearSVC(C=0.03329648437499999, dual=False, max_iter=100000, penalty='l1')",cnv,0.6863031762412567,0.631578947368421,0.46752718494306644,10.0,57964,15
5,COAD,SVM_f25,"LinearSVC(C=0.05819384765624999, dual=False, max_iter=100000, penalty='l1')",cnv,0.8508055268891183,0.745119208277103,0.41774754564805305,28.933333333333334,57964,15
5,COAD,SVM_f100,"LinearSVC(C=0.21784513854980467, dual=False, max_iter=100000, penalty='l1')",cnv,0.9934439857814471,0.7137651821862349,0.3944317588753863,107.0,57964,15
5,COAD,LR_f10,"LogisticRegression(C=0.05868203124999999, max_iter=100000, penalty='l1', solver='liblinear')",mirna,0.7356008485265452,0.6704453441295547,0.5987596943305936,10.266666666666667,802,15
5,COAD,LR_f25,"LogisticRegression(C=0.10359492187499998, max_iter=100000, penalty='l1', solver='liblinear')",mirna,0.8145854833161335,0.6686459739091318,0.5328457175500876,24.0,802,15
5,COAD,LR_f100,"LogisticRegression(C=4.86962890625, max_iter=100000, penalty='l1', solver='liblinear')",mirna,1.0,0.659604138551507,0.40010333068336723,100.66666666666667,802,15
5,COAD,SVM_f10,"LinearSVC(C=0.0147455078125, dual=False, max_iter=100000, penalty='l1')",mirna,0.7364837747964683,0.6704003598740441,0.603837084256488,10.4,802,15
5,COAD,SVM_f25,"LinearSVC(C=0.0264619140625, dual=False, max_iter=100000, penalty='l1')",mirna,0.8124011007911937,0.6686009896536212,0.5477835829143913,25.133333333333333,802,15
5,COAD,SVM_f100,"LinearSVC(C=0.24614453125, dual=False, max_iter=100000, penalty='l1')",mirna,1.0,0.6596941070625281,0.37545973049274683,92.73333333333333,802,15
5,COAD,LR_f10,"LogisticRegression(C=0.025485546875, max_iter=100000, penalty='l1', solver='liblinear')",rna,0.8167497993349386,0.7853801169590643,0.436207817409508,9.666666666666666,22210,15
5,COAD,LR_f25,"LogisticRegression(C=0.03964287109374999, max_iter=100000, penalty='l1', solver='liblinear')",rna,0.8651788785689715,0.7767431399010346,0.4226987021388965,23.533333333333335,22210,15
5,COAD,LR_f100,"LogisticRegression(C=0.2656770298870067, max_iter=100000, penalty='l1', solver='liblinear')",rna,1.0,0.7645524066576698,0.3560205311033454,108.4,22210,15
5,COAD,SVM_f10,"LinearSVC(C=0.006248062133789061, dual=False, max_iter=100000, penalty='l1')",rna,0.814571150097466,0.7853801169590643,0.42833977877444385,9.0,22210,15
5,COAD,SVM_f25,"LinearSVC(C=0.010717993164062502, dual=False, max_iter=100000, penalty='l1')",rna,0.8686704506363949,0.7785874943769681,0.429262763677534,27.333333333333332,22210,15
5,COAD,SVM_f100,"LinearSVC(C=0.0703984375, dual=False, max_iter=100000, penalty='l1')",rna,1.0,0.7433198380566801,0.3132500733002559,97.0,22210,15
5,BLCA,Lasso_f10,MyLasso(C=0.71484375),__ALL__,0.7691888996035573,0.7276714513556619,0.5722154448310057,11.4,100451,15
5,BLCA,Lasso_f25,MyLasso(C=0.818359375),__ALL__,0.8414079074252652,0.770414673046252,0.5148712131521909,26.666666666666668,100451,15
5,BLCA,Lasso_f100,MyLasso(C=0.92333984375),__ALL__,0.9533176184863745,0.8254499886078833,0.4629021083825159,95.4,100451,15
5,BLCA,Lasso_f10,MyLasso(C=0.97955322265625),mutation,0.6598978534947677,0.6291979949874686,0.5911356017530235,7.666666666666667,18576,15
5,BLCA,Lasso_f25,MyLasso(C=0.98486328125),mutation,0.736698453516197,0.6379471405787195,0.44867426113275855,21.133333333333333,18576,15
5,BLCA,Lasso_f100,MyLasso(C=0.9925689697265625),mutation,0.9175406264509447,0.6475848712690818,0.3952003680982935,107.8,18576,15
5,BLCA,Lasso_f10,MyLasso(C=0.9577278979122639),cnv,0.6922147219543555,0.6475393028024606,0.4746467249061199,8.666666666666666,57964,15
5,BLCA,Lasso_f25,MyLasso(C=0.9711074829101562),cnv,0.7532861887924569,0.6685235816814764,0.45266757948663516,22.333333333333332,57964,15
5,BLCA,Lasso_f100,MyLasso(C=0.9889755249023438),cnv,0.9009643201542912,0.6868079289131921,0.37571493540686673,103.06666666666666,57964,15
5,BLCA,Lasso_f10,MyLasso(C=0.8701171875),mirna,0.661204328726026,0.6167919799498747,0.6230163721170915,9.533333333333333,825,15
5,BLCA,Lasso_f25,MyLasso(C=0.93359375),mirna,0.7707282402942962,0.6780815675552517,0.5701460747362178,25.066666666666666,825,15
