cv-folds,dataset,estimator,estimator_details,omics,train_accuracy,test_accuracy,fss_nogueira,fss_lustgarten,fss_jaccard_index,avg_features,all_features,runs,estimator_alt_name
5,LUAD,Lasso_f24,"MyLasso(C=0.9296875, max_iter=2000)",mirna,0.8032091311597953,0.7534974920200638,0.6862356950985788,0.7095726755222679,0.5359074292984444,24.066666666666663,799,15,Lasso_low
5,LUAD,Lasso_f102,"MyLasso(C=0.9853515625, max_iter=2000)",mirna,0.9162739347938588,0.730797993616051,0.4576864263883098,0.4064409492222909,0.3626993887847674,108.73333333333332,799,15,Lasso_mid
5,LUAD,Lasso_f188,"MyLasso(C=0.99359130859375, max_iter=2000)",mirna,0.9923701914783508,0.7098039215686275,0.3701812562463242,0.2848062959041167,0.3572820791279493,197.66666666666663,799,15,Lasso_high
5,LUAD,SVM_f24,"LinearSVC(C=0.03720195312499999, dual=False, max_iter=200000, penalty='l1')",mutation,0.7634983612213213,0.6955494756041951,0.5511785226401553,0.6070818142094654,0.3867228764445714,21.73333333333333,18387,15,SVM_low
5,LUAD,SVM_f102,"LinearSVC(C=0.09724853515624998, dual=False, max_iter=200000, penalty='l1')",mutation,0.8998424472428267,0.6642407660738714,0.4112069649753264,0.4226372575409824,0.261959332716794,97.66666666666669,18387,15,SVM_mid
5,LUAD,SVM_f188,"LinearSVC(C=0.1924443359375, dual=False, max_iter=200000, penalty='l1')",mutation,0.9685043988269796,0.6548654810761514,0.3911484721551826,0.3978351148120069,0.2480997578202419,173.46666666666667,18387,15,SVM_high
5,LUAD,LR_f24,"LogisticRegression(C=0.15241328125, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mutation,0.7693674889310563,0.6924304605563155,0.5544928155859297,0.6127051907157217,0.3897937122653229,22.666666666666668,18387,15,LR_low
5,LUAD,LR_f102,"LogisticRegression(C=0.3945523437499999, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mutation,0.9039508941406474,0.6642407660738714,0.4157555803541911,0.4294310333751592,0.265574886410317,92.6,18387,15,LR_mid
5,LUAD,LR_f188,"LogisticRegression(C=0.9980418992054183, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mutation,0.9902208038640676,0.6493661650706795,0.3960436800566916,0.4027537861428262,0.2517179967924088,169.13333333333333,18387,15,LR_high
5,LUAD,Lasso_f24,"MyLasso(C=0.9792556762695312, max_iter=2000)",mutation,0.7501949284112472,0.6893023255813954,0.5660820912788387,0.6177949637926868,0.399338968374219,21.666666666666668,18387,15,Lasso_low
5,LUAD,Lasso_f102,"MyLasso(C=0.9923553466796875, max_iter=2000)",mutation,0.895343568512449,0.6626630186958504,0.4112604448806221,0.4203348910253367,0.2628134304114661,103.4,18387,15,Lasso_mid
5,LUAD,Lasso_f188,"MyLasso(C=0.995330810546875, max_iter=2000)",mutation,0.9487487781036168,0.6579753761969904,0.3861035989182441,0.3918617640186387,0.2443397548833328,171.0,18387,15,Lasso_high
5,LUAD,SVM_f24,"LinearSVC(C=0.004249560546875, dual=False, max_iter=200000, penalty='l1')",rna,0.8640434707607383,0.8262562699498404,0.5430663046854949,0.5822149594911524,0.3769885888361576,23.2,23681,15,SVM_low
5,LUAD,SVM_f102,"LinearSVC(C=0.014089511108398439, dual=False, max_iter=200000, penalty='l1')",rna,0.9579437640158704,0.807469220246238,0.375186247358768,0.3880177932824801,0.2343246646461931,114.6,23681,15,SVM_mid
5,LUAD,SVM_f188,"LinearSVC(C=0.05959737548828124, dual=False, max_iter=200000, penalty='l1')",rna,1.0,0.768344733242134,0.3239459180763711,0.3283913970647143,0.1977722693177488,196.2,23681,15,SVM_high
5,LUAD,LR_f24,"LogisticRegression(C=0.017552563476562498, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",rna,0.8654131447300328,0.8246876424988601,0.5439361336945538,0.5810724920017274,0.3779801311655706,23.6,23681,15,LR_low
5,LUAD,LR_f102,"LogisticRegression(C=0.068445703125, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",rna,0.9755499971249496,0.803547651618787,0.3764963672483959,0.3883580254102239,0.2353265152391542,118.26666666666668,23681,15,LR_mid
5,LUAD,LR_f188,"LogisticRegression(C=0.25005, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",rna,1.0,0.7871500227998176,0.3754793355809106,0.3873741160288403,0.2352365756748773,189.06666666666663,23681,15,LR_high
5,LUAD,Lasso_f24,"MyLasso(C=0.8359375, max_iter=2000)",rna,0.8665896153182681,0.820766073871409,0.5105973145541152,0.5397139179009179,0.3453970048472473,25.266666666666666,23681,15,Lasso_low
5,LUAD,Lasso_f102,"MyLasso(C=0.943359375, max_iter=2000)",rna,0.9460100051750906,0.808235294117647,0.3771045450125874,0.3857992289105884,0.2358189905322832,117.53333333333332,23681,15,Lasso_mid
5,LUAD,Lasso_f188,"MyLasso(C=0.968017578125, max_iter=2000)",rna,0.9960887815536772,0.7926128590971272,0.3606924761291481,0.3637120879670212,0.2244823013182312,193.66666666666663,23681,15,Lasso_high
5,LUSC,SVM_f23,"LinearSVC(C=0.006446386718749999, dual=False, max_iter=200000, penalty='l1')",__ALL__,0.8277522566806685,0.8277682157200229,0.4210405781068499,0.4573248681839863,0.2689234685855061,25.8,100891,15,SVM_low
5,LUSC,SVM_f100,"LinearSVC(C=0.012426635742187497, dual=False, max_iter=200000, penalty='l1')",__ALL__,0.881982899871898,0.8165997322623829,0.3531271966031094,0.3715987869851535,0.2152518702841368,95.06666666666666,100891,15,SVM_mid
5,LUSC,SVM_f184,"LinearSVC(C=0.03817832031249999, dual=False, max_iter=200000, penalty='l1')",__ALL__,1.0,0.7567794989481736,0.3238279732742902,0.3291047928674407,0.1946348832987949,180.2,100891,15,SVM_high
5,LUSC,LR_f23,"LogisticRegression(C=0.02402099609375, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.8279518574790717,0.8277682157200229,0.3990542032108182,0.4362643164392798,0.2526393422053803,23.666666666666668,100891,15,LR_low
5,LUSC,LR_f100,"LogisticRegression(C=0.05060386243017274, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.9025119909434862,0.8118091413272136,0.3647178636201057,0.3870840466289816,0.2240191494933215,103.06666666666666,100891,15,LR_mid
5,LUSC,LR_f184,"LogisticRegression(C=0.10157735061645506, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.9936211159770012,0.7846720214190094,0.372168816382739,0.3829622694210463,0.2298886823555959,182.66666666666663,100891,15,LR_high
5,LUSC,Lasso_f23,"MyLasso(C=0.883544921875, max_iter=2000)",__ALL__,0.8277522566806685,0.8277682157200229,0.4095321217042855,0.4557309663259837,0.2591089785486314,20.133333333333333,100891,15,Lasso_low
5,LUSC,Lasso_f100,"MyLasso(C=0.9366455078125, max_iter=2000)",__ALL__,0.8630404861917955,0.8245744884299101,0.3346427206690208,0.3484548170988111,0.2019940765463777,91.33333333333331,100891,15,Lasso_mid
5,LUSC,Lasso_f184,"MyLasso(C=0.9656982421875, max_iter=2000)",__ALL__,0.9818619477462984,0.7950659781985083,0.3308703853779267,0.339139535721328,0.1996008172831865,182.0,100891,15,Lasso_high
5,LUSC,SVM_f23,"LinearSVC(C=0.035676379394531235, dual=False, max_iter=200000, penalty='l1')",cnv,0.8279518574790717,0.8269650028686173,0.4639694987794215,0.5022426051292191,0.3039550589696848,23.0,57964,15,SVM_low
5,LUSC,SVM_f100,"LinearSVC(C=0.08760309524536133, dual=False, max_iter=200000, penalty='l1')",cnv,0.8813793308904578,0.8261331038439472,0.4179840067037494,0.4402475313212907,0.2666861194216042,98.2,57964,15,SVM_mid
5,LUSC,SVM_f184,"LinearSVC(C=0.2123388633689668, dual=False, max_iter=200000, penalty='l1')",cnv,0.9926213245151488,0.7687225090839549,0.3606936049467896,0.3723836155908186,0.2221682336620215,179.2,57964,15,SVM_high
5,LUSC,LR_f23,"LogisticRegression(C=0.10164218749999998, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.8277522566806685,0.8277682157200229,0.3630601866831087,0.4270827471721368,0.2269395445384182,18.666666666666668,57964,15,LR_low
5,LUSC,LR_f100,"LogisticRegression(C=0.296915625, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.8736056245717521,0.8301204819277108,0.409324726745283,0.4386421122948026,0.2602761530498678,102.0,57964,15,LR_mid
5,LUSC,LR_f184,"LogisticRegression(C=0.630615234375, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.971890845175321,0.8030216102505259,0.3765434337272018,0.38923619528103,0.2340685314880306,185.2,57964,15,LR_high
5,LUSC,Lasso_f23,"MyLasso(C=0.98046875, max_iter=2000)",cnv,0.8277522566806685,0.8277682157200229,0.4921912342819675,0.5445695499111052,0.3309882576988567,20.6,57964,15,Lasso_low
5,LUSC,Lasso_f100,"MyLasso(C=0.9917831420898438, max_iter=2000)",cnv,0.8592510501385289,0.8277682157200229,0.3981569731389914,0.4113641001042257,0.2507077201759054,101.86666666666666,57964,15,Lasso_mid
5,LUSC,Lasso_f184,"MyLasso(C=0.9950027465820312, max_iter=2000)",cnv,0.9459737241934042,0.8078408873589596,0.3699651867614769,0.3770779799850898,0.229054088169276,179.53333333333333,57964,15,Lasso_high
5,LUSC,SVM_f23,"LinearSVC(C=0.017552563476562498, dual=False, max_iter=200000, penalty='l1')",mirna,0.8277522566806685,0.8277682157200229,0.4707589272620158,0.5047446561759789,0.3210450784532204,20.8,895,15,SVM_low
5,LUSC,SVM_f100,"LinearSVC(C=0.04843017578125, dual=False, max_iter=200000, penalty='l1')",mirna,0.8923472458068936,0.8150506789061006,0.489000926526854,0.4601631404338909,0.3697567620569095,88.2,895,15,SVM_mid
5,LUSC,SVM_f184,"LinearSVC(C=1.99395751953125, dual=False, max_iter=200000, penalty='l1')",mirna,1.0,0.7320520175941863,0.3271207463445243,0.264419457375162,0.3046814169377804,185.53333333333333,895,15,SVM_high
5,LUSC,LR_f23,"LogisticRegression(C=0.07137480468749999, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mirna,0.8277522566806685,0.8277682157200229,0.464107199616895,0.5023775299668944,0.3188935276282271,22.53333333333333,895,15,LR_low
5,LUSC,LR_f100,"LogisticRegression(C=0.21941647949218746, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mirna,0.9182667500819256,0.7967202141900938,0.4724337023977699,0.4407074744627706,0.3579939194564894,91.4,895,15,LR_mid
5,LUSC,LR_f184,"LogisticRegression(C=2.8350677490234375, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",mirna,1.0,0.7520175941862689,0.3679796668104628,0.2994501801458532,0.3339375387379143,187.13333333333333,895,15,LR_high
